Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,145.510,145.510000,off,0.015000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
2,145.530,145.530000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
3,145.550,145.550000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
4,145.570,145.570000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
5,145.590,145.590000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
6,145.610,145.610000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
7,145.630,145.630000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
8,145.650,145.650000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
9,145.670,145.670000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
10,145.690,145.690000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
11,145.710,145.710000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
12,145.730,145.730000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
13,145.750,145.750000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
14,145.770,145.770000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
15,145.790,145.790000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
16,146.520 c,146.520000,off,0.015000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
17,146.535,146.535000,off,0.015000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
18,146.550,146.550000,off,0.015000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
19,146.565,146.565000,off,0.015000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
20,146.580,146.580000,off,0.015000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
21,146.595,146.595000,off,0.015000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
22,147.405,147.405000,off,0.015000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
23,147.420,147.420000,off,0.015000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
24,147.480,147.480000,,0.015000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
25,147.495,147.495000,,0.015000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
26,147.510,147.510000,,0.015000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
27,147.525,147.525000,,0.015000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
28,147.540,147.540000,,0.015000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
29,147.555,147.555000,,0.015000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
30,147.570,147.570000,,0.015000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
31,147.585,147.585000,,0.015000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
